问题,关键字,相似问,答案
话题标签反馈群,话题标签,怎么修改话题id|请问如何查看 快手某一话题下的投稿量 用于业务复盘|端内话题词需要找谁问|快手端内 话题词的问题|话题标签在哪里反馈,"<font color=""orange"">**亲爱的同学好~**</font>
避免提前宣传的话题不符合运营规范的情况，禁止活动启动之后再申请话题运营，需在活动初期先联系话题运营同学确认标签是否符合运营规范，是否属于有效标签，能否进行运营。
**流量中台话题标签配置入口：**[https://flow.corp.kuaishou.com/#/flow/resource/tag/topic](https://flow.corp.kuaishou.com/#/flow/resource/tag/topic)；
**对接人：**
标签页（前端）：运营- <@=username(wangying16)=>；
流量中台：运营- <@=username(zhujianmin)=>；
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671637743666252.png)"
OA 申请品牌周边流程指引,周边,有哪些周边礼品能申请|申请周边礼品如何操作,"<font color=""orange"">**亲爱的同学好~**</font>
申请周边礼品用于部门活动，需要先申请预算，请您参考[OA 申请周边流程指引](https://docs.corp.kuaishou.com/d/home/fcAAFjMbp7wLjOW2yNGoB6-1C)
\
Kimi 温馨提示：
价目库存表可参考[库存价目表](https://docs.corp.kuaishou.com/s/home/fcADbK2YiTqhST4R069EipX76) ?"
如何导出 Docs 点赞名单,点赞,在线文档的点赞名单如何导出|怎么导出文档的点赞名单|怎么导出点赞的人,"<font color=""orange"">**亲爱的同学好~**</font>
实在抱歉，目前点赞名单不支持导出。"
转正系统提交审批时提示「提交失败」,,问下 Mentee转正提交失败怎么办,"<font color=""orange"">**亲爱的同学好~**</font>
此类问题请联系 <@=username(ehr)=> 反馈咨询。"
什么是粉条,粉条,粉条怎么用|粉条是什么,"<font color=""orange"">**亲爱的同学好~**</font>
粉条是仅供公司内部使用，通过助推短视频或者直播，获得更多曝光，进而提高播放量、粉丝量等转化数据的推广手段。
Kimi温馨提示：作者在手机端用快币购买的商业粉条不在流量中台的范围。"
群主离职了怎么转让群主,"群主离职,转让群主",kim群主离职了这个怎么换群主呢|群主离职想要转群主|群主离职怎么样转让|群聊的群主已离职，怎么转让群主呀|群主离职怎么转让|群主离职了想转让群主|Kim群主离职了|群主离职|群主离职了但是还是群主 怎么转给我,"<font color=""orange"">**亲爱的同学好~**</font>
群主离职 24 小时后，会自动转让群主角色给群内其他群管理员，若群内有多个群管理员，同级别优先级是按入群时间转让，若群内无群管理员会按入群时间转让给群内其他普通成员。
Kimi 温馨提示：
需要将群主转移给指定人的话，可以等群主自动转移给在职同学后再发起下方群主转移流程。
群主是机器人，群内无其他管理员，审批人 Kim 侧同学；
群主是机器人，群内有其他管理员，审批人群管理员；
群主是真人，审批人是群主。-ANSWER@_@SPLIT--INTEND@_@-/kim_1_00002"
HQL引擎/HUE常见问题,"hql,hql引擎,hue",HQL引擎常见问题|HUE常见问题,"<font color=""orange"">**亲爱的同学好~**</font>
请参考文档：[Hue用户使用文档](https://wiki.corp.kuaishou.com/pages/viewpage.action?pageId=80484361)。"
消息号底部的菜单栏有数量限制吗,消息号限制,消息号能支持的菜单栏的标签数有上线吗,"<font color=""orange"">**亲爱的同学好~**</font>
消息号底部的菜单栏数量目前没有限制。"
快手星球的网址、帮助文档,,快手星球是什么|快手星球网址|快手星球使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
快手星球作为问答的升级产品，是快手新内部社区，目前暂和问答并列运行，属于快手内部员工沟通交流阵地。
快手星球的地址请[点击这里](https://star.corp.kuaishou.com/home)；
快手星球的合作文档可以参考[快手星球官方合作文档](https://docs.corp.kuaishou.com/d/home/fcACvGJL_yxP13x5_DRHdxwDO)；
快手星球的对接人是<@=username(xingqiujun)=>。"
为什么直播间关闭了礼物特效，仍然显示特效,关闭礼物特效,关闭的礼物特效无效,"<font color=""orange"">**亲爱的同学好~**</font>
部分礼物未合流礼物，在关闭特效情况下仍然会进行展示。"
noah平台链接,"noah平台,诺亚",noah,"<font color=""orange"">**亲爱的同学好~**</font>
Noah平台链接[点这里](https://noah.corp.kuaishou.com/)。"
如何在耗材柜领取耗材,耗材柜,鼠标可以领几个|广州耗材|鼠标能多久领一个|超量提示|插线板可以领用几个|耗材限额|提示我领取的数量超过上限|自动取用键盘鼠标的贩卖机|每个月可以领多少资产|你好想问一下，在一层有可以用工卡领取设备的机器诶，看到机器里面有耳机数据线鼠标之类的，是想问下那个机器领取对实习生有什么限制吗|请问下公牛插线板，一年可以领几个呢|自助机领取的低值易耗品限额|易耗品领取频率|自动售货柜|外包的同学想领取苹果电脑的c口拓展坞，但是显示没有权限|鼠标的领取限额|插排可以领几次|耗材领取额度|低值易耗可领取数量|自助柜没权限领|你好，我想问一下八楼售卖机的键盘怎么买不了啊|耗材柜的东西多久能领取一次,"<font color=""orange"">**亲爱的同学好~**</font>
关于耗材柜领取耗材的相关问题可以参考此文档，例如多久可以领一次、可以领取哪些耗材等 [智能耗材柜 Q&A](https://docs.corp.kuaishou.com/d/home/fcADs1Dj9sYwjtxMWxL5Su_1V)。"
如何在 Kim 上新建文档和表格,"新建文档,新建表格,新建docs",kim里面怎么新建docs|如何在Kim上能新建文档和表格|想在Kim上新建文档和表格|kim上面想新建docs|可否在Kim上新建文档和表格|kim上面怎么新建docs,"<font color=""orange"">**亲爱的同学好~**</font>
如何在 Kim 上新建文档和表格，请查看帮助文档：[如何通过Kim创建文档/表格](https://docs.corp.kuaishou.com/k/home/VFzHuoon2D2U/fcADsITWq1Oq5vXHL41DOSijq?ro=false#section=h.pj9gah8yufse)。"
刚建好的计划怎么看不到,计划看不到,找不到建好的计划,"<font color=""orange"">**亲爱的同学好~**</font>
右上角选择对应的组织。"
如何知道群机器人的token,"机器人,token,群机器人",kim群机器人token|群机器人token是什么|群机器人的token|想知道群机器人的token|我想知道群机器人的token|怎样知道群机器人的token|怎样才能知道群机器人的token|你好，制作完kim群机器人之后，怎么知道这个机器人的token呀,"<font color=""orange"">**亲爱的同学好~**</font>
机器人创建者打开机器人所在群聊—点击群设置—机器人—找到自己制作的这个机器人可以查看到token。"
快手云盘如何使用,"快手网盘,快手云盘",有一个活动切片非常大，需要上传和下载，有什么办法可以快速加载吗|怎么对外发云盘|咱们有网盘吗|快手云盘|快手网盘|快手云盘如何使用？|公司怎么传大文件呢|快手网盘地址|快手云盘地址|云盘如何使用|网盘如何使用|云盘|网盘|云盘怎么用|网盘怎么用|云盘使用手册|网盘使用手册|快手云盘怎么使用|网盘怎么使用|快手网盘怎么使用|云盘登陆方法|网盘登陆方法|快手云盘怎么登陆|快手网盘怎么登陆|如何登陆快手云盘|如何登陆快手网盘|有云盘吗|有网盘吗|云盘地址|网盘地址|您好，请问快手有网盘吗|请问快手有没有云盘|请问快手有内部云盘吗|我想用快手的网盘,"<font color=""orange"">**亲爱的同学好~**</font>
快手云盘地址：[https://ee-clodis.corp.kuaishou.com/](https://ee-clodis.corp.kuaishou.com/)；
目前云盘支持公网和办公网文件上传和下载；
详情可参考： [快手云盘用户使用手册](https://docs.corp.kuaishou.com/d/home/fcADTgDFyQRAA5chSpXCAW9N5)"
火箭系统对接群,火箭,火箭平台的权限申请|火箭平台的问题找谁,"<font color=""orange"">**亲爱的同学好~**</font>
火箭系统的相关问题可以扫码进群咨询（优先看群公告找对接人）：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671719388602142.png)"
杀毒软件、DLP（ESET）卸载流程是什么,"卸载杀毒软件,卸载dlp,卸载eset,eset卸载",我的电脑下载了ESET软件我想卸载|在家办公一次 就卸载不聊了|个人电脑如何删除公司的杀毒等软件|防火墙卸载|个人电脑安装了描述性文件怎么移除，自从安装了以后，现在自己的个人电脑上不了网，也连不了WiFi|eset保护怎么取消|居家办公软件卸载|我想帮离职的同学问下，他自己的电脑上还有公司监控的安全软件，要怎么卸载呢|你好，想请问下：我用自己家里的电脑安装kim时，安装了endpoint antivirus，现在想关一下，请问有操作文档嘛～|快手安全终端管理怎么移除|自己家里的电脑被装上eset|eset如何卸载|卸载个人电脑上安装的快手监控程序|如何关闭个人电脑的监控程序|移除自用电脑 快手安全配置|dlp怎么卸载|如何删除eset|如何卸载dlp|如何删除dlp|安全杀毒软件卸载,"<font color=""orange"">**亲爱的同学好~**</font>
**ESET(EDR)、MDM卸载**：需要您点击[此流程](https://bpm.corp.kuaishou.com/agile-designer/pc/submit/Vo93O0ACqY)申请，流程审批通过后会自动执行卸载任务，保持15分钟内开机即可。若15分钟还没有卸载完成，请您咨询<@=username(aq-xms)=>。
**DLP卸载**：请您点击[此流程](https://bpm.corp.kuaishou.com/agile-designer/pc/submit?fb_key=9541a0fe5cac45278eef65ba1d58968c&type=4)申请。
注：如果是帮离职同学申请，填写对方的设备信息即可。"
食品分销库对接人是谁,食品分销,食品分销库对接人,"<font color=""orange"">**亲爱的同学好~**</font>
食品分销库对接人<@=username(likai)=>。"
需要拷贝内部文件，如何报备,拷贝文件,公司电脑上面的私人文件如何传递给给人|需要外传内部文件，如何报备,"<font color=""orange"">**亲爱的同学好~**</font>
1. 公司规定内部数据不允许存储在非公司控制的外接设备中，如因工作需求请优先申请外接设备，或者直接现场去 IT 侧借用硬盘拷贝（仅可现场拷贝不能直接借走），避免使用个人设备进行数据传递；
2.  需要放到云盘备份可使用 Docs；
3.  如因工作需要需外传或拷贝公司文档，审批流程：
* 通过 [流程中心 - IT 类流程 - 敏感数据操作 & 数据外传授权申请](https://bpm.corp.kuaishou.com/ks-bpm/#/iframeCreate/sensitiveDataAndDataTransmissionProcess?entry=newPortal) 进行授权申请（适用于拷贝及外传场景）；
* 通过 [流程中心 - 快流程 - 数据声明](https://bpm.corp.kuaishou.com/agile-designer/pc/submit/GSf49twPJu) 进行授权申请（适用于重做系统、大量电脑资料迁移）。"
如何使用 ChatGPT,"chatgpt,chatGPT",chatgtp入口|chat gpt|gpt|问答助手如何接入gpt?|公司有内部gpt吗|https://chat.ad-fe.com/#/chat|chatgpt我可以用吗|我想了解一下chatgpt,"<font color=""orange"">**亲爱的同学好~**</font>
您可以点击[ChatGPT](kim://thread?id=10331807271236:0)体验或者扫码加入ChatGPT体验群了解更多哦~
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671684225684164.png)"
通过直播伴侣如何实现录播转直播,录播转直播,如何实现录播转直播,"<font color=""orange"">**亲爱的同学好~**</font>
可通过伴侣vlc功能实现，但该功能只针对部分用户开发，具体可联系<@=username(xiaofeng03)=>咨询。"
如何查询申报个人所得税,"个人所得税,个税申报,申报个税",个人所得税在哪里查|个人所得税怎么查|个人所得税怎么查询|怎么查询申报个人所得税|怎样查询我的个人所得税申报|怎么可以查询个人所得税申报|想查询申报个人所得税|个人所得税|专项附加扣除填报操作|个人所得税年度汇算清缴|专项附加扣除|个税年度汇算清缴操作步骤,"<font color=""orange"">**亲爱的同学好~**</font>

个人所得税等相关问题可以查看该文档：[个人所得税](https://docs.corp.kuaishou.com/k/home/VY0f_QeJyZ1Y/fcADFzAOP-z-kmi-CEcDEH6p7)；

Kimi温馨提示：如果文档无法解决同学的问题，请点击[HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)转人工获取帮助哦~"
邮件安全网关如何加白,,你好，收不到uber企业版激活邮件|客户的发送的给拦截无法收到|自如验证码接收不到|麻烦发一下安全网关基本操作链接,"<font color=""orange"">**亲爱的同学好~**</font>

可参考此文档：[邮件安全网关基本操作]:(https://docs.corp.kuaishou.com/k/home/VPkuetrR1FJ4/fcAAlHBgjsYTiPAGt2LDrNqmU)"
海外远程办公是否可以将资产带到海外使用,"海外办公,海外资产",海外远程办公|带到海外|海外资产,"<font color=""orange"">**亲爱的同学好~**</font>

国内的资产设备无法带出至国外使用，请您使用自己的设备，按照以下方式进行邮件报备：
■ 邮件报备直属领导并安装数据防护软件DLP和KIT软件；如不再办公使用时/离职时必须对个人电脑进行格式化处理（由IT做格式化处理）；
● 邮件内容：使用个人电脑办公原因 + 使用的周期 + 说明个人电脑已安装DLP + 同意离职时IT 对个人电脑进行格式化；
● 发送对象：直属领导，抄送：HRBP+信息安全小秘书aq-xms@kuaishou.com +it-help@kuaishou.com+wb_zhouqingyu@kuaishou.com。"
出差目的地和出发地一致，无法在快流程提交差旅申请的表单,,出差目的地和出发地一致，无法在快流程提交「差旅申请的表单」，提交时系统提示「出发地跟目的地一致」,"<font color=""orange"">**亲爱的同学好~**</font>

**快流程中不支持本地出差申请**，政策类请咨询您的BP或[HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance)"
工作台如何返回旧版,,我的待办找不到了|我想使用个人中心,"<font color=""orange"">**亲爱的同学好~**</font>

您如果想继续使用旧版「个人中心」，可以在网页右下角找到返回旧版的入口
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671673338417809.png)"
Kim 怎么设置听筒模式,听筒,kim设置听筒模式,"<font color=""orange"">**亲爱的同学好~**</font>
移动端 Kim 点击左上角头像 - 设置 - 通用 - 打开「使用听筒播放语音」：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671706601428693.png)"
Kim 工作台在哪里,"KIM工作台在哪里,kim工作台,工作台",手机端kim工作台从哪里进入|电脑端kim工作台从哪里进入|手机端kim工作台怎么进入|电脑端kim工作台怎么进入|怎么登陆kim工作台|怎么进入kim工作台|kim工作台从哪里进入|kimi台在哪里|什么叫kim工作台|啥叫kim工作台|kim工作台在哪儿|kim工作台|工作台|KIM工作台在哪里,"<font color=""orange"">**亲爱的同学好~**</font>
目前Kim中的工作台，已改名为应用
1、电脑端位置，在Kim最左侧，田字格图标
2、手机端位置，在Kim最下方，田字格图标，并有“应用”字样"
如何提交离职申请,"离职流程,离职证明","你好，我想问一下已离职员工怎么领取离职证明呢？|什么时候给离职员工操作减员|离职审批流程|去哪里领离职证明呢|您好，离职时用不完的年假是怎么兑换的呢|在哪里提离职流程|离职证明多久能开出来呢|离职时间怎么修改？|我想催办下我的离职流程|怎么提离职|离职怎么提|离职申请在哪找|实习生离职程序怎么走|离职证明能补发邮件吗|实习生离职需要提前多久走流程|您好,离职证明怎么领取|离职证明发放|离职证明的领取途径有哪些|离职证明怎么开|离职证明领取时间|我想领取离职证明|你好，请问下我今天离职，盖章的实习证明今天能领取吗|我实习生要离职的话都有哪些注意事项|请问 成都区 离职过的人想回流有什么要求？|请问实习生离职系统流程需要提前几个工作日发起呢|请问离职需要办理哪些手续呢|你好实习生离职流程要提早一周提交嘛，还是领导同","<font color=""orange"">**亲爱的同学好~**</font>
离职相关问题请点击 [HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 获取帮助。
**Kimi 温馨提示**：外包同学请咨询外包公司对接人。"
薪酬问题可以找谁,"工资,考勤,薪资,薪酬,涨薪",岗位转正待遇变动|收到工资到账kim提醒，但是银行卡并没有到账工 资|您好 怎么查自己的涨薪记录|工资问题问哪里|薪资问题问哪里|薪酬问题问哪里|工资问题该去哪里咨询|同学好，想请问下，实习生工资每个月几号发放呀|年终奖发放时间|请问一般几号发工资呢|薪资发放|为什么工资没到账|考勤如何计算|考勤怎么算|试用期考勤规则|实习生工资怎么算|实习生考勤|考勤怎么计算|为什么我工资没到账|工资条问题|薪资问题|问问工资单在哪看|离职实习生薪资|老师咱们公司在哪里办理工资卡（银行卡）呀|请问离职后，该月24号以后的工资是多久发|有个工资问题，是找你们么|夜班补助|年终奖税率|这段放假时间，有工资拿吗|查工资|夜班补贴怎么算|同学好，今天离职，请问本月还没提交的考勤怎么提交呢|请问薪资相关问题找谁？|工资|薪资|你好，请问今天工资什么时候,"<font color=""orange"">**亲爱的同学好~**</font>
请点击联系 [HR咨询](https://ehr.corp.kuaishou.com/ihr-contact/contact/entrance) 获取帮助哦。
**Kimi 温馨提示**：外包同学请咨询外包公司对接人。"
公司合作的自如租房服务对接人,"租房,自如,自如租房,租房优惠",自如服务,"<font color=""orange"">**亲爱的同学好~**</font>
关于自如服务相关问题，您可以通过 Kim 应用 - 快乐生活 - 快手优汇 进入了解，或 [点击链接](https://docs.corp.kuaishou.com/d/home/fcAB0S8vVReHCKOfk6g72VLKN) 跳转；
如有问题，可咨询链接中的自如客户经理或 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-22964522-miZ6osVdXppLLpaD-EDmv99kwjE-kssso) 反馈咨询。"
如何预估预算花费和资源位曝光量,"预算花费,资源位曝光",如何预估资源位的曝光量,"<font color=""orange"">**亲爱的同学好~**</font>
1、预估资源位的曝光&预算花费：[预算申报神器--操作文档](https://docs.corp.kuaishou.com/d/home/fcADa7zHIJo8rmrshrdoK41Bz)，
地址：[https://flow.corp.kuaishou.com/#/flow/budget/calculation](https://flow.corp.kuaishou.com/#/flow/budget/calculation)，
2、非标资源位投放效果（曝光量、CTR预估参考）：[非标投放效果参考](https://docs.corp.kuaishou.com/k/home/VAhrkHy7u-tw/fcAA2tKGCYf8s2SvbXit6559b#section=h.u53p7ani87d9)，
3、在活动投放前，可联系<@=username(zhujianmin)=>协助预估。"
公司主体、各部门的英文翻译,翻译,主体英文名称|公司的英文名|公司的英文名全称应该是什么|快手英文名字|快手科技有限公司英文名字|达佳互联的英文翻译,"<font color=""orange"">**亲爱的同学好~**</font>
公司部分主体的英文翻译如下：
\
北京达佳互联信息技术有限公司    Beijing Dajia Internet Information Technology Co., Ltd.
北京快手科技有限公司    Beijing Kuaishou Technology Co., Ltd.
北京快手广告有限公司    Beijing Kuaishou Ads Co., Ltd.
北京晨钟科技有限公司    Beijing Chenzhong Technology Co., Ltd.
天津汇龙文化传播有限公司    Tianjin Huilong Culture Communication Co., Ltd.
成都遂意文化传播有限公司    Chengdu Suiyi Culture Communication Co., Ltd.
湘西快手技术服务有限公司    Xiangxi Kuaishou Technology Service Co., Ltd.
成都快购科技有限公司    Chengdu Kuaigou Technology Co., Ltd.
北京中博科远科技有限公司    Beijing Zhongbo Keyuan Technology Co., Ltd.
\
以上信息由法务同学提供，感谢法务同学 ?
如您有其他法务相关问题，可联系<@=username(fawuxiaozhuli)=>"
京区职场宣传点位都有哪些,"宣传点位,资源位",京区职场有哪些宣传点位,"<font color=""orange"">**亲爱的同学好~**</font>
京区职场的宣传点位明细请参考??[此文档](https://docs.corp.kuaishou.com/s/home/fcAB08F2LrdtxWULNtrgsizN7?section=668441031)，
资源位申请请戳??[资源位申请系统](https://xz.corp.kuaishou.com/advertisingspace )点击「新增申请」选择具体位置和时间后提交申请，
申请资源位时可参考[资源位说明](https://docs.corp.kuaishou.com/d/home/fcAD_CzIFYWKNkLrMpvNMPdmy)。"
万家灯火（餐厅、咖啡机、订餐、赛百味等）,"食堂,餐厅,取餐",万家灯火取餐|万家灯火咖啡|万家灯火食堂在几层|万家灯火食堂,"<font color=""orange"">**亲爱的同学好~**</font>
万家灯火职场**餐饮指南**，请点击[这里](https://kim-message.corp.kuaishou.com/message/66944)；
关于万家灯火职场的其他信息，请点击[这里](https://kim-message.corp.kuaishou.com/message/66979)；
如有其他职场的相关问题请联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-22448399--IKCSIuMAF3QP-irVWSZWLclHYE-kssso)获取帮助~"
如何临时解决C盘空间不足问题,"C盘,C盘不足,空间不足,c盘满了",我的电脑内存满了  保存不了图片怎么清除啊|请问我的kim不能截屏是为什么呢|您好  电脑存储满了   能帮忙清理一下吗|我的电脑显示内存不足了|hello 内存没有了咋办|清理内存|扩充内存|内存不够了|没有内存了|空间不足了|如何清理电脑扩大空间内存|电脑没有空间了|电脑空间不足|我的电脑空间不足了怎么办|我的c盘满了|空间不足|没空间了|磁盘爆满|C盘满了|如何清理C盘下载的文件|c盘满了,"<font color=""orange"">**亲爱的同学好~**</font>
如果 Windows 电脑 C 盘空间不足，可参考此文档 [如何临时解决 C 盘空间不足故障](https://docs.corp.kuaishou.com/k/home/VfRdpRRvy3RQ/fcAAPtrTyO6_Go_SswtRUzgKs) 进行操作，**磁盘空间不足有可能导致 Kim 截图失败等问题**，如果文档无法解决您的问题，可以回复「666」转 IT 人工处理。"
Kim音视频会议如何共享电脑屏幕,共享屏幕,会议怎么把自己的某一个文档共享给大家|会议怎么共享屏幕|视频可以投放自己的屏幕么,"<font color=""orange"">**亲爱的同学好~**</font>
Kim 音视频会议可以共享自己的电脑屏幕，可以共享整个桌面或某一个文档、网页，在音视频界面点击「共享」按钮即可：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671720430588221.png)"
中秋礼盒线上售卖啦,"中秋礼盒,月饼",买中秋礼盒|想购买中秋礼盒|中秋礼盒内购,"<font color=""orange"">**亲爱的同学好~**</font>
* 了解中秋礼盒内部购买信息请[点击](https://kim-message.corp.kuaishou.com/message/78767)
* 快速购买入口??[快手土特产](https://xz-shop.corp.kuaishou.com/shop-h5)

\
如有更多疑问可联系[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-33972233-Kk4C8u5tmcWbP-dV93U0WcjffPA-kssso)获取帮助~"
怎么查看快手ID,查看快手id,怎么查看大家的快手uid|如何查看自己的快手id,"<font color=""orange"">**亲爱的同学好~**</font>
您可以在 Kim 右上角点击您的头像，然后点击您名字右侧的快手图标，如果绑定了快手帐户这里就可以查看到哦～
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671684309252014.png)
如果还没有绑定快手 ID，可以点击 Kim 应用 - 「我的小红花」页面，按照提示操作绑定快手 ID 或者直接点击 [此链接](https://flower-plus.corp.kuaishou.com/flower/home/index.html#/) 绑定快手 ID，目前只有这一种方式哦~"
可以下载微信吗,下载微信,可以安装微信吗|可以下载QQ吗|微信|电脑工作用安装QQ需要什么报备流程吗|电脑工作用安装微信需要什么报备流程吗,"<font color=""orange"">**亲爱的同学好~**</font>
目前没有命令禁止下载微信、QQ等外部即时通讯软件，但未经授权不允许传递工作相关信息。"
公司的椅子可以购买吗,"工位椅,椅子,工椅",工椅购买|我想买公司的椅子|请问公司的椅子可以购买吗,"<font color=""orange"">**亲爱的同学好~**</font>
工位椅购买可以联系""liyuhui / guotianyu03""同学哦~
"
中秋礼盒邮寄信息填错了怎么办,中秋礼盒,中秋礼盒填错号码了|中秋礼盒信息错误|请问中秋礼盒填错号码了，快递那边说需要邮寄方修改，咱们这边有什么处理方法吗,"<font color=""orange"">**亲爱的同学好~**</font>
1. 中秋礼盒刮刮乐相关问题请联系<@=username(ext_guaguale)=>
2. 礼盒什么时间邮寄、邮寄地址/号码错误等相关问题可咨询[行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-2096420-Rg9FiaUNdCgxk2pwAjE0x5-fJCQ-kssso) 获取帮助~"
KESS平台问题对接群,kess,KESS平台是什么|KESS网址|KESS使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
KESS 平台的地址请 [点击这里](https://kess.corp.kuaishou.com/)；
KESS 的帮助文档可以参考 [KESS 系统介绍](https://halo.corp.kuaishou.com/help/docs/91e74f0459a051700df84e91757ed32b)；
其他问题可以扫码进群咨询：
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671695375948513.png)"
代码开源流程,"代码开源,数据外传,开源流程",开源流程是什么|数据外传流程是什么,"<font color=""orange"">**亲爱的同学好~**</font>
**需提交数据外传流程和开源流程**
* 数据外传流程：[https://bpm.corp.kuaishou.com/ks-bpm/#/iframeCreate/sensitiveDataAndDataTransmissionProcess?entry=newPortal](https://bpm.corp.kuaishou.com/ks-bpm/#/iframeCreate/sensitiveDataAndDataTransmissionProcess?entry=newPortal)，
* 开源流程：[https://bpm.corp.kuaishou.com/ks-bpm/#/form/openSourceRisk/create?entry=newPortal
](https://bpm.corp.kuaishou.com/ks-bpm/#/form/openSourceRisk/create?entry=newPorta)。"
差旅申请无法搜索到某途径城市,差旅申请,我在差旅申请里点选途径城市的时候无法搜索到,"<font color=""orange"">**亲爱的同学好~**</font>
此类问题请按照以下路径找财务的人工同学咨询：
Kim - 搜索「FSSC财务共享中心咨询」应用号反馈咨询。"
如何查询能量券剩余多少,"查看能量券,能量券,能量券余额,工卡余额",能量余额|快手能量豆在哪里看|在哪看还剩多少能量圈呀|如何查看餐补余额|餐劵|餐券如何查看|怎么看有多少餐费|从哪里看我的卡里的余额|能量券余额是多少|如何查看能量劵账户余额呢|您好请问怎么查工卡余额|工卡余额查询|你好同学 请问怎么查询我还剩余多少能量券呢？,"<font color=""orange"">**亲爱的同学好~**</font>
可以在「**Kim 应用 - 快乐生活 - 快手食堂 - [我的](https://xz.corp.kuaishou.com/canteen/#/canteen/me)**」来查看能量券余额。
"
元中心喜茶、星巴克营业时间,"喜茶,奶茶店,星巴克",元中心星巴克打几折|元中心星巴克几点关门|元中心喜茶几点关门|元中心星巴克营业时间|元中心喜茶营业时间,"<font color=""orange"">**亲爱的同学好~**</font>
元中心星巴克位置：T11 - 2层；
元中心星巴克营业时间：工作日 7:00-20:00，周末及节假日暂停服务，可用能量券支付（需携带工卡）。
\
元中心喜茶位置：T1 - 1层；
元中心喜茶营业时间：工作日 9:00-21:00，周末及节假日暂停服务，可用能量券支付（需携带工卡）；
**温馨提示：如使用微信「喜茶GO小程序，选择元中心店 」下单则无法使用能量券哦。**
如有其他问题，可以联系 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-11721707-6pAlWtQ4WlAdZFC-aMc--pulrMk-ksssogray) 进行咨询。"
java.lang.NoSuchFieldError: xxx,,java.lang.NoSuchFieldError: xxx,"**问题示例：**
错误如下图：
![7.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/372e706e671637047306964.png)
**问题原因：**
如果本地环境能编过的话 报这种error 多是由于本地环境和ksp版本不一致导致
**解决方案：**
确定一下报错的地方xxx 所在的依赖包版本是否发生了变化，可以在制品库拉到用到的不同的版本的jar包进行对比 确认下用的哪个版本"
如何退出项目,,我想离开项目|怎么退出项目,"<font color=""orange"">**亲爱的同学好~**</font>
您可以按照以下步骤离开项目：
1、进入项目首页，点击项目名称旁边的设置按钮；
2、点击退出项目即可
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671673338920844.png)"
魔表快闪、生产后端的问题如何反馈,"美颜,魔表,特效,快闪,生产后端",生产后端的问题如何反馈|你好，我想请问下快手的美颜美体设定有没有什么参考设定,"<font color=""orange"">**亲爱的同学好~**</font>
关于生产后端的问题可以参考此文档 [生产后端 FAQ](https://docs.corp.kuaishou.com/k/home/VKUP77uPHZHM/fcAC7qiTTB4_4RC4RQvgjuV67#section=h.y2hg6efp1wcj)；
关于魔表快闪的问题可以参考此文档 [魔表常见问题 FAQ](https://docs.corp.kuaishou.com/k/home/VXU0ahgBQslk/fcAA7kIL5tBt9ckCdo4It7V4W)、[快闪常见问题](https://docs.corp.kuaishou.com/k/home/VQSCXLebCibg/fcADDd-bhq2jtxSOcb6K8ea9T)；
如果以上文档无法解决您的问题，可以联系「生产特效小助手」消息号反馈咨询。"
